ARM,AUPRC,AUROC,BALANCED_ACCURACY,C,EXPLORATORY_OUTER_RESULT,FN,FP,KERNEL_PARAMS,LEFT_FEATURE,MCC,OUTER_FOLD,PAIR,PAIR_INDEX,RIGHT_FEATURE,SENSITIVITY,SPECIFICITY,THRESHOLD,TN,TP,USED_FOR_PATH_SELECTION
pair_rbf_control,0.39497430219285745,0.6275773195876287,0.5152061855670103,100.0,True,26,31,"{""gamma"": 0.01}",TPSA_SP,0.029441909536462557,1,TPSA_SP__nHalogen,21,nHalogen,0.35,0.6804123711340206,0.34211156542075116,66,14,False
pair_phase_no_zz,0.429381193682015,0.5457474226804124,0.5771907216494845,1.0,True,33,2,"{""feature_scale"": 0.5}",TPSA_SP,0.2833248842736598,1,TPSA_SP__n_OP,22,n_OP,0.175,0.979381443298969,0.8574354221549084,95,7,False
pair_iqp_zz,0.43919917448181656,0.505541237113402,0.5771907216494845,100.0,True,33,2,"{""feature_scale"": 0.25}",TPSA_SP,0.2833248842736598,1,TPSA_SP__n_OP,22,n_OP,0.175,0.979381443298969,0.39863937120627657,95,7,False
pair_rbf_control,0.39687486979100534,0.526159793814433,0.5815721649484537,100.0,True,31,6,"{""gamma"": 0.3}",TPSA_SP,0.2375539752583849,1,TPSA_SP__n_OP,22,n_OP,0.225,0.9381443298969072,0.999746703312073,91,9,False
pair_phase_no_zz,0.41339671570984954,0.6046391752577319,0.5305412371134021,100.0,True,19,45,"{""feature_scale"": 0.5}",TPSA_SP,0.055581637964533206,1,TPSA_SP__LiPHEX_prediction,23,LiPHEX_prediction,0.525,0.5360824742268041,-0.06796371260757517,52,21,False
pair_iqp_zz,0.3967656070952629,0.613659793814433,0.538659793814433,0.1,True,20,41,"{""feature_scale"": 0.5}",TPSA_SP,0.07073488931317767,1,TPSA_SP__LiPHEX_prediction,23,LiPHEX_prediction,0.5,0.5773195876288659,-0.16224649230942179,56,20,False
pair_rbf_control,0.3819485214154816,0.6036082474226805,0.5550257731958763,1.0,True,29,16,"{""gamma"": 0.3}",TPSA_SP,0.12578642889183123,1,TPSA_SP__LiPHEX_prediction,23,LiPHEX_prediction,0.275,0.8350515463917526,0.5333998519802775,81,11,False
pair_phase_no_zz,0.3406485461024869,0.5694587628865979,0.532860824742268,0.1,True,25,30,"{""feature_scale"": 1.0}",TPSA_SP,0.06362446552371145,1,TPSA_SP__sasa002_frac_polar_hetero_only,24,sasa002_frac_polar_hetero_only,0.375,0.6907216494845361,-0.04308778469742012,67,15,False
pair_iqp_zz,0.34658904436068566,0.5895618556701031,0.5577319587628866,0.1,True,16,47,"{""feature_scale"": 0.5}",TPSA_SP,0.10506571227051002,1,TPSA_SP__sasa002_frac_polar_hetero_only,24,sasa002_frac_polar_hetero_only,0.6,0.5154639175257731,-0.3833993034751527,50,24,False
pair_rbf_control,0.3142183564724438,0.5545103092783505,0.48672680412371133,10.0,True,39,5,"{""gamma"": 0.1}",TPSA_SP,-0.058980722586181686,1,TPSA_SP__sasa002_frac_polar_hetero_only,24,sasa002_frac_polar_hetero_only,0.025,0.9484536082474226,1.0141810767467518,92,1,False
