BALANCED_ACCURACY,DELTA_MCC_ZZ_VS_BEST_SINGLETON,DELTA_MCC_ZZ_VS_NO_ZZ,EDGE_SCORE_SOURCE,INNER_FOLD_DELTAS,INNER_FOLD_DELTA_MEAN,INNER_FOLD_DELTA_SD,INNER_FOLD_POSITIVE_DELTA_COUNT,LEFT_FEATURE,LEFT_INDEX,NO_ZZ_C,NO_ZZ_PARAMS,NO_ZZ_THRESHOLD,OUTER_FOLD,OUTER_VALIDATION_LABELS_ACCESSED,PAIR,PAIR_AUPRC_ZZ,PAIR_AUROC_ZZ,PAIR_INDEX,PAIR_MCC_NO_ZZ,PAIR_MCC_ZZ,RIGHT_FEATURE,RIGHT_INDEX,SENSITIVITY,SPECIFICITY,STABLE_EDGE_SCORE,ZZ_C,ZZ_PARAMS,ZZ_THRESHOLD
0.6453387579341778,0.10657918432076291,0.0,inner_OOF_outer_train_only,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0,NumHDonors,3,1.0,"{""feature_scale"": 0.125}",0.5086359381409409,1,False,NumHDonors__nHalogen,0.43419916367144423,0.6515812431842966,27,0.27039970719370715,0.27039970719370715,nHalogen,6,0.6978021978021978,0.5928753180661578,0.0,1.0,"{""feature_scale"": 0.125}",0.5077840145077162
0.696935380141487,0.0,0.0,inner_OOF_outer_train_only,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0,NumHDonors,3,0.1,"{""feature_scale"": 0.125}",-0.25299453168093705,1,False,NumHDonors__n_OP,0.6315438796781289,0.7253236585297654,28,0.5321466428312986,0.5321466428312986,n_OP,7,0.4065934065934066,0.9872773536895675,0.0,0.1,"{""feature_scale"": 0.25}",-0.3808590592468376
0.6372997231775858,0.09162272896639018,-0.04332752920336569,inner_OOF_outer_train_only,"[0.042893028350734, -0.057130092960390136, -0.07962204766015363, -0.06781553232310908]",-0.040418661148229715,0.05629565887514614,1,NumHDonors,3,100.0,"{""feature_scale"": 1.0}",0.1828312013022907,1,False,NumHDonors__LiPHEX_prediction,0.4487633819809975,0.6571316723988478,29,0.2987707810427001,0.2554432518393344,LiPHEX_prediction,8,0.6868131868131868,0.5877862595419847,-0.06856649058580279,10.0,"{""feature_scale"": 0.25}",-0.20951641386821995
0.6002642395772166,0.11157124898367721,0.006035802549287983,inner_OOF_outer_train_only,"[-0.16166432917592527, 0.1682800640233438, -0.02238340491819185, 0.003303361313775399]",-0.003116077189249479,0.13531029098471686,2,NumHDonors,3,10.0,"{""feature_scale"": 0.125}",0.9932168078600623,1,False,NumHDonors__sasa002_frac_polar_hetero_only,0.47861483719527464,0.6620040265078433,30,0.26935596930733346,0.27539177185662145,sasa002_frac_polar_hetero_only,9,0.2692307692307692,0.9312977099236641,-0.0707712226816079,100.0,"{""feature_scale"": 0.125}",0.9998121449542037
0.5925887090009228,-0.0616351936208914,-0.02409337465062389,inner_OOF_outer_train_only,"[-0.06029794880690509, -0.148335472544965, 0.057079654619413556, 0.06482326142551395]",-0.02168262632673565,0.10201119562915775,2,NumRotatableBonds,4,0.1,"{""feature_scale"": 1.0}",-0.234144985051506,1,False,NumRotatableBonds__NumAromaticRings,0.3947379307418906,0.6036825769650198,31,0.19875277672866618,0.1746594020780423,NumAromaticRings,5,0.5439560439560439,0.6412213740458015,-0.07268822414131453,100.0,"{""feature_scale"": 0.125}",0.3367664495121092
0.6657718871459329,0.09993564247826447,0.004575530513576231,inner_OOF_outer_train_only,"[0.0, 0.02421069391605829, -0.02297817396823168, 0.020556261964629396]",0.005447195478114002,0.021741100328354346,2,NumRotatableBonds,4,10.0,"{""feature_scale"": 0.5}",0.7415624794612009,1,False,NumRotatableBonds__nHalogen,0.49381995629058995,0.6761527276794452,32,0.33165470766362193,0.33623023817719816,nHalogen,6,0.5274725274725275,0.8040712468193384,-0.005423354686063172,100.0,"{""feature_scale"": 0.25}",0.593506179493315
0.696935380141487,0.0,0.0,inner_OOF_outer_train_only,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0,NumRotatableBonds,4,10.0,"{""feature_scale"": 0.125}",0.08431984413003102,1,False,NumRotatableBonds__n_OP,0.6416020631892442,0.7190811732796466,33,0.5321466428312986,0.5321466428312986,n_OP,7,0.4065934065934066,0.9872773536895675,0.0,10.0,"{""feature_scale"": 0.125}",0.08819998180940081
0.6237871543215054,0.00385991648224146,0.021495146076011773,inner_OOF_outer_train_only,"[0.030684001160122626, -0.03480473936320344, 0.10636320469566213, -0.029211318037796585]",0.018257787113696182,0.06579240853577599,2,NumRotatableBonds,4,100.0,"{""feature_scale"": 0.25}",0.41074643946235634,1,False,NumRotatableBonds__LiPHEX_prediction,0.4561009762100239,0.6465620893101809,34,0.21865936610516337,0.24015451218117514,LiPHEX_prediction,8,0.5274725274725275,0.7201017811704835,-0.014638417154191813,0.1,"{""feature_scale"": 0.5}",0.43491013063514106
0.633874395324777,0.043230960306391286,0.046230817755786774,inner_OOF_outer_train_only,"[0.09153257129087816, 0.04187935378466562, 0.006145316128889994, 0.043526328088301314]",0.04577089232318377,0.03504520743018171,4,NumRotatableBonds,4,0.1,"{""feature_scale"": 0.5}",0.47885109627514993,1,False,NumRotatableBonds__sasa002_frac_polar_hetero_only,0.41973615533112885,0.6528115650253056,35,0.2332947382495382,0.27952555600532497,sasa002_frac_polar_hetero_only,9,0.45604395604395603,0.811704834605598,0.028248288608092916,100.0,"{""feature_scale"": 0.5}",0.7375964770257222
0.5152112518524733,-0.013591111831084496,-0.020560122698601496,inner_OOF_outer_train_only,"[0.06937567317890408, -0.11458502264886847, 0.016722377611742757, -0.23515464588068372]",-0.06591040443472633,0.13680074461996483,2,NumAromaticRings,5,100.0,"{""feature_scale"": 1.0}",-0.03560719433261636,1,False,NumAromaticRings__nHalogen,0.3737070374211286,0.5419357995693873,36,0.149593995996431,0.1290338732978295,nHalogen,6,0.03296703296703297,0.9974554707379135,-0.13431077674470876,1.0,"{""feature_scale"": 1.0}",1.0396752617157485
