MODEL,PERMUTATION,RANDOMIZED_AUROC,MODE
random_forest,61,0.5399154256297114,fixed_configuration
mlp,61,0.5393546607832322,fixed_configuration
rbf_matched,61,0.4667953667953668,fixed_configuration
quantum_angle_product,61,0.45601213458356316,fixed_configuration
quantum_iqp_zz_linear,61,0.4566740209597352,fixed_configuration
logistic,62,0.5575289575289575,fixed_configuration
random_forest,62,0.5109670895385182,fixed_configuration
mlp,62,0.44191027762456336,fixed_configuration
rbf_matched,62,0.5439878654164368,fixed_configuration
quantum_angle_product,62,0.5372586872586873,fixed_configuration
quantum_iqp_zz_linear,62,0.5380584666298953,fixed_configuration
logistic,63,0.5188867438867438,fixed_configuration
random_forest,63,0.4867209045780474,fixed_configuration
mlp,63,0.52932064717779,fixed_configuration
rbf_matched,63,0.4964837286265858,fixed_configuration
quantum_angle_product,63,0.5085999264570693,fixed_configuration
quantum_iqp_zz_linear,63,0.5061730097444384,fixed_configuration
logistic,64,0.4635043206471777,fixed_configuration
random_forest,64,0.5104798676227248,fixed_configuration
mlp,64,0.5025280382423241,fixed_configuration
rbf_matched,64,0.48232211803640374,fixed_configuration
quantum_angle_product,64,0.47608016179444756,fixed_configuration
quantum_iqp_zz_linear,64,0.4775418275418276,fixed_configuration
logistic,65,0.5480235337378194,fixed_configuration
random_forest,65,0.4985107556536128,fixed_configuration
mlp,65,0.5534978856407428,fixed_configuration
rbf_matched,65,0.5567199852914139,fixed_configuration
quantum_angle_product,65,0.5628883986026844,fixed_configuration
quantum_iqp_zz_linear,65,0.564193785622357,fixed_configuration
logistic,66,0.5504826254826256,fixed_configuration
random_forest,66,0.5339354660783233,fixed_configuration
mlp,66,0.5280244530244531,fixed_configuration
rbf_matched,66,0.5425675675675676,fixed_configuration
quantum_angle_product,66,0.5547756940614084,fixed_configuration
quantum_iqp_zz_linear,66,0.5527716492002206,fixed_configuration
logistic,67,0.46205644419930136,fixed_configuration
random_forest,67,0.5081678617392903,fixed_configuration
mlp,67,0.503690935833793,fixed_configuration
rbf_matched,67,0.4482487589630447,fixed_configuration
quantum_angle_product,67,0.43340227983085133,fixed_configuration
quantum_iqp_zz_linear,67,0.4346433167861739,fixed_configuration
logistic,68,0.43813200956058096,fixed_configuration
random_forest,68,0.46843629343629345,fixed_configuration
mlp,68,0.5092296378010663,fixed_configuration
rbf_matched,68,0.4425445854017283,fixed_configuration
quantum_angle_product,68,0.4488968560397132,fixed_configuration
quantum_iqp_zz_linear,68,0.4487221915793345,fixed_configuration
logistic,69,0.4356821106821107,fixed_configuration
random_forest,69,0.44036127964699395,fixed_configuration
mlp,69,0.5036173929031071,fixed_configuration
rbf_matched,69,0.4482211803640375,fixed_configuration
quantum_angle_product,69,0.4506205184776614,fixed_configuration
quantum_iqp_zz_linear,69,0.45282680639823497,fixed_configuration
logistic,70,0.5009422687994117,fixed_configuration
random_forest,70,0.47971594043022614,fixed_configuration
mlp,70,0.5117346938775511,fixed_configuration
rbf_matched,70,0.5114589078874794,fixed_configuration
quantum_angle_product,70,0.5099512778084208,fixed_configuration
quantum_iqp_zz_linear,70,0.5115140650854937,fixed_configuration
logistic,71,0.46709413495127783,fixed_configuration
random_forest,71,0.5164506343077772,fixed_configuration
mlp,71,0.4548768155911013,fixed_configuration
rbf_matched,71,0.49505883434454867,fixed_configuration
quantum_angle_product,71,0.5048952013237727,fixed_configuration
quantum_iqp_zz_linear,71,0.504325243610958,fixed_configuration
logistic,72,0.48126034197462775,fixed_configuration
random_forest,72,0.47484372127229274,fixed_configuration
mlp,72,0.4610636146350432,fixed_configuration
rbf_matched,72,0.4869783048354477,fixed_configuration
quantum_angle_product,72,0.48593031807317527,fixed_configuration
quantum_iqp_zz_linear,72,0.4858200036771465,fixed_configuration
logistic,73,0.5016271373414231,fixed_configuration
random_forest,73,0.5046423974995403,fixed_configuration
mlp,73,0.5145844824416252,fixed_configuration
rbf_matched,73,0.4970582827725685,fixed_configuration
quantum_angle_product,73,0.48983268983268985,fixed_configuration
quantum_iqp_zz_linear,73,0.48952013237727526,fixed_configuration
logistic,74,0.483443647729362,fixed_configuration
random_forest,74,0.5470398970398971,fixed_configuration
mlp,74,0.49382239382239385,fixed_configuration
rbf_matched,74,0.5048354476925905,fixed_configuration
quantum_angle_product,74,0.4974535760250047,fixed_configuration
quantum_iqp_zz_linear,74,0.49677330391616104,fixed_configuration
logistic,75,0.5066234601948887,fixed_configuration
random_forest,75,0.5184362934362934,fixed_configuration
mlp,75,0.5209919102776246,fixed_configuration
rbf_matched,75,0.47485291413862835,fixed_configuration
quantum_angle_product,75,0.4781715388858246,fixed_configuration
quantum_iqp_zz_linear,75,0.4765995587424159,fixed_configuration
logistic,76,0.46853741496598644,fixed_configuration
random_forest,76,0.48052031623460195,fixed_configuration
mlp,76,0.47308788380216954,fixed_configuration
rbf_matched,76,0.46770086412943557,fixed_configuration
quantum_angle_product,76,0.4580299687442545,fixed_configuration
quantum_iqp_zz_linear,76,0.45818624747196174,fixed_configuration
logistic,77,0.4989336275050561,fixed_configuration
random_forest,77,0.5021787093215665,fixed_configuration
mlp,77,0.4843997058282773,fixed_configuration
rbf_matched,77,0.5026659312373598,fixed_configuration
quantum_angle_product,77,0.5037966537966538,fixed_configuration
quantum_iqp_zz_linear,77,0.5061500275785991,fixed_configuration
logistic,78,0.5146810075381505,fixed_configuration
random_forest,78,0.5407795550652693,fixed_configuration
mlp,78,0.5040724397867254,fixed_configuration
rbf_matched,78,0.5139547710976282,fixed_configuration
quantum_angle_product,78,0.5178433535576392,fixed_configuration
quantum_iqp_zz_linear,78,0.5172090457804744,fixed_configuration
logistic,79,0.527330391616106,fixed_configuration
random_forest,79,0.49646074646074645,fixed_configuration
mlp,79,0.4792976650119507,fixed_configuration
rbf_matched,79,0.5156278727707299,fixed_configuration
quantum_angle_product,79,0.5234418091560948,fixed_configuration
quantum_iqp_zz_linear,79,0.5209321566464424,fixed_configuration
logistic,80,0.5034381320095607,fixed_configuration
random_forest,80,0.5547389225960655,fixed_configuration
mlp,80,0.49801893730465163,fixed_configuration
rbf_matched,80,0.5058650487221916,fixed_configuration
quantum_angle_product,80,0.5104522890237176,fixed_configuration
quantum_iqp_zz_linear,80,0.5083747012318441,fixed_configuration
logistic,81,0.5155175583747013,fixed_configuration
random_forest,81,0.4661380768523625,fixed_configuration
mlp,81,0.5350294171722744,fixed_configuration
rbf_matched,81,0.5206379849236993,fixed_configuration
quantum_angle_product,81,0.5244714101856959,fixed_configuration
quantum_iqp_zz_linear,81,0.523303916161059,fixed_configuration
logistic,82,0.4727109762824049,fixed_configuration
random_forest,82,0.5241772384629528,fixed_configuration
mlp,82,0.5034794999080713,fixed_configuration
rbf_matched,82,0.45928939143224856,fixed_configuration
quantum_angle_product,82,0.4660737267880125,fixed_configuration
quantum_iqp_zz_linear,82,0.4644557823129252,fixed_configuration
logistic,83,0.4991128883986027,fixed_configuration
random_forest,83,0.47838297481154624,fixed_configuration
mlp,83,0.5403612796469939,fixed_configuration
rbf_matched,83,0.504251700680272,fixed_configuration
quantum_angle_product,83,0.48997517926089357,fixed_configuration
quantum_iqp_zz_linear,83,0.4894236072807502,fixed_configuration
logistic,84,0.503759882331311,fixed_configuration
random_forest,84,0.5161794447508734,fixed_configuration
mlp,84,0.549531163816878,fixed_configuration
rbf_matched,84,0.507749586321015,fixed_configuration
quantum_angle_product,84,0.5112612612612613,fixed_configuration
quantum_iqp_zz_linear,84,0.5115830115830116,fixed_configuration
logistic,85,0.4855626034197463,fixed_configuration
random_forest,85,0.4637801066372495,fixed_configuration
mlp,85,0.517553778268064,fixed_configuration
rbf_matched,85,0.4971180364037507,fixed_configuration
quantum_angle_product,85,0.4817291781577495,fixed_configuration
quantum_iqp_zz_linear,85,0.48185787828644977,fixed_configuration
logistic,86,0.47283507997793717,fixed_configuration
random_forest,86,0.4211068211068211,fixed_configuration
mlp,86,0.5168045596617025,fixed_configuration
rbf_matched,86,0.44260893546607827,fixed_configuration
quantum_angle_product,86,0.4605258319544034,fixed_configuration
quantum_iqp_zz_linear,86,0.4582184225041368,fixed_configuration
logistic,87,0.4462401176686891,fixed_configuration
random_forest,87,0.4983958448244162,fixed_configuration
mlp,87,0.510240853097996,fixed_configuration
rbf_matched,87,0.46663908806765947,fixed_configuration
quantum_angle_product,87,0.44726052583195447,fixed_configuration
quantum_iqp_zz_linear,87,0.44738003309431884,fixed_configuration
logistic,88,0.5707482993197279,fixed_configuration
random_forest,88,0.5081264938407796,fixed_configuration
mlp,88,0.47810259238830666,fixed_configuration
rbf_matched,88,0.5673377459091744,fixed_configuration
quantum_angle_product,88,0.5708769994484281,fixed_configuration
quantum_iqp_zz_linear,88,0.5705092847949991,fixed_configuration
logistic,89,0.499567935282221,fixed_configuration
random_forest,89,0.542985842985843,fixed_configuration
mlp,89,0.5007813936385365,fixed_configuration
rbf_matched,89,0.48451002022430595,fixed_configuration
quantum_angle_product,89,0.4781117852546424,fixed_configuration
