REPLICATE,LEFT_MODEL,RIGHT_MODEL,MCC_DELTA
48,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.023580731315373193
48,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.03627248074703904
49,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
49,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.031866339855318726
49,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.03145513200502903
49,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.00041120785028969653
50,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
50,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,-0.030699524292156444
50,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.017089168324879778
50,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.04778869261703622
51,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
51,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.019421261098702236
51,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.012729092415684096
51,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.00669216868301814
52,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
52,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.011678594927277741
52,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.021829270295296965
52,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.010150675368019224
53,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
53,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.010590455844494862
53,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.018885737969924044
53,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.008295282125429182
54,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
54,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.05317105865341992
54,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.031790265517520844
54,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.02138079313589908
55,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
55,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.030471347402118265
55,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.011304929307158484
55,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.01916641809495978
56,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
56,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.0006342867971653732
56,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.041082625206001255
56,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.04044833840883588
57,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
57,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,-0.002623305816306931
57,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.020191631752909334
57,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.022814937569216265
58,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
58,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.03143519751117746
58,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.07986651297694736
58,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.0484313154657699
59,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
59,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.051656818905660595
59,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.03686645476050204
59,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.014790364145158552
60,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
60,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.059221003163310804
60,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.019022787283645703
60,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0401982158796651
61,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
61,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.04553503941980347
61,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.04005692271163397
61,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0054781167081695
62,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
62,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.05485709229142288
62,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.007108794797770046
62,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.047748297493652836
63,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
63,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.0131031438245921
63,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.06413026669489441
63,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.05102712287030231
64,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
64,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.08396509961083976
64,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.0599361073757993
64,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.02402899223504046
65,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
65,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.031282932101023286
65,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.023419491033048134
65,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.007863441067975152
66,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
66,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.037020133042076464
66,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.045967975219028456
66,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.008947842176951992
67,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
67,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.04916158377720564
67,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.0356152021348381
67,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.013546381642367544
68,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
68,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.03604443754191217
68,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.015187120121959607
68,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.02085731741995256
69,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
69,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.016410831830841188
69,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.027580336802018712
69,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.011169504971177524
70,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
70,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.05053678121489924
70,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.025545251477361197
70,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.024991529737538043
71,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
71,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.00993171766441131
71,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.008160141319806302
71,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0017715763446050081
72,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
72,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.017705035528839952
72,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,-0.004249785997063826
72,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.021954821525903778
73,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
73,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.06254883047259688
73,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.027599546277290027
