evaluation_status,representation,n_features,model,n_molecules,positive_prevalence,auroc,auprc,balanced_accuracy,mcc,accuracy,precision,recall,f1,fold_mean_auroc,fold_std_auroc,fold_mean_auprc,fold_std_auprc,fold_mean_balanced_accuracy,fold_std_balanced_accuracy,fold_mean_mcc,fold_std_mcc,fold_mean_accuracy,fold_std_accuracy,fold_mean_precision,fold_std_precision,fold_mean_recall,fold_std_recall,fold_mean_f1,fold_std_f1,source_run,model_label,representation_label,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,selection_cv_auroc,elapsed_seconds
historical_holdout,without_liphex,9,logistic,181,0.2707182320441988,0.6895485466914039,0.5152696031268174,0.7035405071119356,0.4154512341189889,0.7734806629834254,0.5869565217391305,0.5510204081632653,0.5684210526315789,,,,,,,,,,,,,,,,,classical,Logistic regression,X10 - LiPHEX,0.5935296846011131,0.7861974335188621,0.40681444209021483,0.668472351395251,0.7283049235367541,0.0604964999984076
historical_holdout,x10,10,logistic,181,0.2707182320441988,0.6890847247990105,0.5155542483289828,0.6933364254792826,0.3975145001357786,0.7679558011049724,0.5777777777777777,0.5306122448979592,0.5531914893617021,,,,,,,,,,,,,,,,,classical,Logistic regression,X10,0.5891852195423625,0.7855790043290043,0.40960213975675963,0.6564344889366043,0.7317921309733262,0.0564979000009771
historical_holdout,x10,10,random_forest,181,0.2707182320441988,0.6889301175015461,0.5182931870276156,0.644635126777984,0.3369152417420799,0.7624309392265194,0.59375,0.3877551020408163,0.4691358024691358,,,,,,,,,,,,,,,,,classical,Random forest,X10,0.5973832714904144,0.7829352195423623,0.4050739885764197,0.6541608225701107,0.7563084144638951,2.453339899999264
historical_holdout,without_n_op,9,random_forest,181,0.2707182320441988,0.6852195423623995,0.4702562905842289,0.570578231292517,0.1919445870848879,0.7292817679558011,0.5,0.2244897959183673,0.3098591549295774,,,,,,,,,,,,,,,,,classical,Random forest,X10 - n_OP,0.5977021490414348,0.765930349412492,0.3702808548886496,0.5985205035625986,0.6986068582387969,2.506881900000735
historical_holdout,without_n_op,9,rbf_svc,181,0.2707182320441988,0.6815089672232532,0.4725551002255672,0.6426252319109462,0.2817439510610403,0.712707182320442,0.4705882352941176,0.4897959183673469,0.48,,,,,,,,,,,,,,,,,classical,RBF-SVC,X10 - n_OP,0.5874961348175632,0.7696428571428572,0.37416140750159754,0.6008837623341933,0.711903252952,0.3032222999991063
historical_holdout,without_n_op,9,logistic,181,0.2707182320441988,0.6487322201607916,0.4236215518695511,0.6231447124304268,0.2198397627510601,0.6187845303867403,0.3780487804878049,0.6326530612244898,0.4732824427480916,,,,,,,,,,,,,,,,,classical,Logistic regression,X10 - n_OP,0.5530303030303031,0.743819573283859,0.3382658953757509,0.5656622936041191,0.66480149360748,0.0611642000003485
development_oof,without_n_op,9,rbf_matched,712,0.3117977528089887,0.7124379481522339,0.5804943699289185,0.6631274131274132,0.3250691326290704,0.7092696629213483,0.5333333333333333,0.5405405405405406,0.5369127516778524,0.7053263195667212,0.0978089327624807,0.5913597520124603,0.1077404238798335,0.6532432115655606,0.0823053289929814,0.3075565561096879,0.16372660916701,0.7022145874515437,0.0755237343974525,0.5234838439594871,0.1141545721566957,0.5304133517813905,0.1306158944160358,0.5252261647152846,0.1155559604718413,quantum,RBF kernel (matched),X10 - n_OP,0.6687405773120059,0.756528314028314,0.5232770028800545,0.647429914407394,,
development_oof,without_n_op,9,quantum_iqp_zz_linear,712,0.3117977528089887,0.70857694429123,0.5769072629979094,0.6627045412759698,0.326631962763504,0.7120786516853933,0.5388127853881278,0.5315315315315315,0.5351473922902494,0.7006459920202106,0.0824398365830289,0.5852493927251443,0.1167700137311634,0.6530928059631671,0.0759786483734373,0.3098927429800153,0.154129859658758,0.7041759540085983,0.0722724104159764,0.5304824507211637,0.1136127666482351,0.5229418886198547,0.1253446777102377,0.5237573691646408,0.1068542916872175,quantum,Quantum IQP-ZZ map,X10 - n_OP,0.6642280290494577,0.7504290770362197,0.5208609954694682,0.6420879203514619,,
development_oof,without_n_op,9,quantum_angle_product,712,0.3117977528089887,0.6991266776981063,0.5680164599735534,0.6582000367714653,0.3184040891717768,0.7092696629213483,0.5345622119815668,0.5225225225225225,0.5284738041002278,0.6918819039351526,0.0857952302027801,0.5811917746894004,0.0986767823897086,0.6497566492417164,0.0809994116338416,0.3062002750890633,0.1665371774750947,0.7020981552731898,0.0783118858487256,0.5324011571841851,0.1311698106954027,0.516567633008311,0.1312858560043918,0.5197742903112076,0.1138736660208013,quantum,Quantum product map,X10 - n_OP,0.6544672733958449,0.7430423791138078,0.5088951042847233,0.6334166913847439,,
development_oof,x10,10,quantum_iqp_zz_linear,712,0.3117977528089887,0.7315774958632101,0.635594931403453,0.6876447876447876,0.4583967422017894,0.7837078651685393,0.7741935483870968,0.4324324324324324,0.5549132947976878,0.7379203687874468,0.1173957702304215,0.6723272547241275,0.1266518301245911,0.6839883363008888,0.0714695942786528,0.4572792877919459,0.1610751607494521,0.7794911253489671,0.0637151111590539,0.7933333333333333,0.1979212962421498,0.4305710172296129,0.1336901588435393,0.5456208068622,0.1226124798702873,quantum,Quantum IQP-ZZ map,X10,0.6869824416252988,0.7744815223386653,0.5792478740758993,0.7004202462476734,,
development_oof,x10,10,quantum_angle_product,712,0.3117977528089887,0.7286357786357787,0.6176977300227626,0.6843721272292701,0.4504019724475352,0.7808988764044944,0.7661290322580645,0.4279279279279279,0.5491329479768786,0.734062248547618,0.1159475015030068,0.6594879544441314,0.1203903067006035,0.6801609464351854,0.0751622453537802,0.4483211933477735,0.1641272810380522,0.7765292975550528,0.0651656010525287,0.7860530091369025,0.20148771715234,0.4258574139687942,0.1444296917670569,0.5378311666546961,0.1275609556998884,quantum,Quantum product map,X10,0.6855704173561317,0.7700864129435558,0.5600968339341453,0.6869113309238678,,
development_oof,x10,10,rbf_matched,712,0.3117977528089887,0.714055892627321,0.6282477241028307,0.6921492921492921,0.4664544399426399,0.7865168539325843,0.7777777777777778,0.4414414414414414,0.5632183908045977,0.7155596773421689,0.1047452038631169,0.6529180126531282,0.1040027426549047,0.6897260975225211,0.0779784906850956,0.4628792617418609,0.1678517558494089,0.7823080267574178,0.0664254175018165,0.7855927698032962,0.1876392691234968,0.4413818280404237,0.1387018220228605,0.5541042146103783,0.1324868412186082,quantum,RBF kernel (matched),X10,0.6701721364221365,0.7569419930134215,0.5686102675283384,0.6904703023948988,,
historical_holdout,without_n_op,9,quantum_angle_product,181,0.2707182320441988,0.6906307977736549,0.4819079299333867,0.6732374768089053,0.3364791130293716,0.7292817679558011,0.5,0.5510204081632653,0.5242718446601942,,,,,,,,,,,,,,,,,quantum,Quantum product map,X10 - n_OP,0.5973948670377242,0.781079931972789,0.3796352588633197,0.6161322316080688,0.7141121083459612,2.3030702999985806
historical_holdout,without_n_op,9,quantum_iqp_zz_linear,181,0.2707182320441988,0.6832096474953617,0.4365639788986509,0.6478818800247372,0.2829317553400011,0.7016574585635359,0.4561403508771929,0.5306122448979592,0.490566037735849,,,,,,,,,,,,,,,,,quantum,Quantum IQP-ZZ map,X10 - n_OP,0.591832869511441,0.7742772108843536,0.3516377223339606,0.5800289885834513,0.7122086118370999,2.474048899999616
historical_holdout,without_n_op,9,rbf_matched,181,0.2707182320441988,0.6815089672232532,0.4725551002255672,0.6426252319109462,0.2817439510610403,0.712707182320442,0.4705882352941176,0.4897959183673469,0.48,,,,,,,,,,,,,,,,,quantum,RBF kernel (matched),X10 - n_OP,0.5873376623376624,0.7724335188620902,0.3748005002210279,0.6084857466243069,0.711903252952,1.886255999999776
