MODEL,OUTER_FOLD,N_TRAIN,N_VALIDATION,INNER_AUROC_MEAN,INNER_AUROC_SD,THRESHOLD,AUROC,AUPRC,BALANCED_ACCURACY,MCC,SENSITIVITY,SPECIFICITY,TP,TN,FP,FN
quantum_iqp_zz_linear,3,565,147,0.7104293204391645,0.11820838815403482,0.43582441750255496,0.8285012285012285,0.7408981220061456,0.6576167076167077,0.48184280284144393,0.32432432432432434,0.990909090909091,12,109,1,25
logistic,4,531,181,0.7295093889842869,0.058624534426749045,0.6173617095679432,0.7725757154765213,0.7311289821203136,0.6653931647679912,0.4841543470151669,0.3389830508474576,0.9918032786885246,20,121,1,39
random_forest,4,531,181,0.7491452118895312,0.08232134242418149,0.6464497655516229,0.7432620172270076,0.6966794869186549,0.6610169491525424,0.49246254224428665,0.3220338983050847,1.0,19,122,0,40
mlp,4,531,181,0.692659574327285,0.08091690738687037,0.5277474054271143,0.6825507085301472,0.6281454560438673,0.6186440677966102,0.41635107639659596,0.23728813559322035,1.0,14,122,0,45
rbf_matched,4,531,181,0.7113738226305787,0.12769841560071596,0.5683983822205286,0.7470130591831065,0.6959583115956385,0.6186440677966102,0.41635107639659596,0.23728813559322035,1.0,14,122,0,45
quantum_angle_product,4,531,181,0.7110865938066255,0.10789018497801618,-0.2695974905486845,0.7832731314253959,0.7442511134962038,0.6610169491525424,0.49246254224428665,0.3220338983050847,1.0,19,122,0,40
quantum_iqp_zz_linear,4,531,181,0.7096252460181923,0.14972749818398015,0.06535323416911916,0.7001944984717976,0.6464894074649665,0.6186440677966102,0.41635107639659596,0.23728813559322035,1.0,14,122,0,45
logistic,5,570,142,0.7235408695117258,0.052371286999516514,0.7021670746648798,0.8292736449418476,0.7908020580220697,0.7899934167215273,0.6528109491516051,0.6122448979591837,0.967741935483871,30,90,3,19
random_forest,5,570,142,0.7644059170985916,0.05177029943603067,0.5366666666666666,0.8415624314241826,0.7888977100975347,0.7894448101821374,0.6326027767859668,0.6326530612244898,0.946236559139785,31,88,5,18
mlp,5,570,142,0.6752162437411278,0.03255501308364164,0.5134378167505225,0.7851656791748958,0.7678129687499484,0.7636603028308098,0.5816856439341711,0.5918367346938775,0.9354838709677419,29,87,6,20
rbf_matched,5,570,142,0.7292558718377771,0.04198735798242945,0.24006136819399015,0.8240070221637043,0.7491326155312039,0.7781435154707044,0.583560427982478,0.6530612244897959,0.9032258064516129,32,84,9,17
quantum_angle_product,5,570,142,0.7307897627683984,0.05538953791007838,0.30997307341526437,0.7961378099626948,0.6864036728580242,0.7631116962914197,0.5650686281395405,0.6122448979591837,0.9139784946236559,30,85,8,19
quantum_iqp_zz_linear,5,570,142,0.7269897232960126,0.053740423929951604,0.06840351123842597,0.8086460390607856,0.7676662719334247,0.7631116962914197,0.5650686281395405,0.6122448979591837,0.9139784946236559,30,85,8,19
