C,FEATURE,FEATURE_INDEX,FEATURE_SCALE,INNER_AUPRC,INNER_AUROC,INNER_BALANCED_ACCURACY,INNER_MCC,OUTER_AUPRC,OUTER_AUROC,OUTER_FOLD,OUTER_MCC,SELECTION_SOURCE,THRESHOLD
100.0,nHalogen,6,0.25,0.3757702979601925,0.5684577942871781,0.5216216216216216,0.1745428020017787,0.37950717758974967,0.5099364069952306,2,0.043059875049797594,inner_OOF_outer_train_only,2.260289853191911
0.1,n_OP,7,0.125,0.5981289895014386,0.7233508389906493,0.67937748174715,0.5018264639679291,0.5335182835182836,0.6544117647058825,2,0.44907259163184227,inner_OOF_outer_train_only,-0.3948966746771432
0.1,LiPHEX_prediction,8,1.0,0.37797230852975683,0.5888305366978352,0.5826565902395286,0.15219683109848434,0.5037465129682221,0.6319554848966613,2,0.21228381453617576,inner_OOF_outer_train_only,0.525923907424311
1.0,sasa002_frac_polar_hetero_only,9,1.0,0.39762310607281226,0.5805943384142437,0.5529780965799923,0.16720515527214436,0.3236460043598385,0.41216216216216217,2,-0.05473763676449523,inner_OOF_outer_train_only,0.9568643971616778
0.1,MolLogP,0,0.125,0.40921968361352173,0.5358108108108108,0.5597439544807966,0.23578431130527683,0.5136382226430983,0.6737100737100737,3,0.0,inner_OOF_outer_train_only,0.9528024721624421
10.0,MolWt,1,0.25,0.29402142298642275,0.44261735419630166,0.5442745376955903,0.10494449265998826,0.4437352393058046,0.6457002457002458,3,0.1296849328880646,inner_OOF_outer_train_only,-0.8553482781309669
0.1,TPSA_SP,2,0.25,0.35076409760589883,0.5113940256045519,0.5490398293029872,0.1252122273208179,0.3401795630411978,0.5514742014742015,3,0.02714959920700004,inner_OOF_outer_train_only,0.9656439626408284
1.0,NumHDonors,3,0.125,0.4088364020138762,0.6084637268847795,0.6075391180654339,0.2039694780251475,0.27516360623909675,0.5346437346437346,3,0.0,inner_OOF_outer_train_only,0.9999992434153844
100.0,NumRotatableBonds,4,0.125,0.3979954007245029,0.6134921763869132,0.6186344238975818,0.22353181429024935,0.32122955874221654,0.5695331695331695,3,0.13848691770303814,inner_OOF_outer_train_only,0.7027093120518764
0.1,NumAromaticRings,5,0.125,0.34888663877676235,0.5323541963015648,0.5545163584637269,0.10598303561967347,0.37832708636280066,0.5945945945945947,3,0.0,inner_OOF_outer_train_only,0.8951312003985646
1.0,nHalogen,6,0.25,0.3850224245818984,0.5727667140825037,0.5783783783783784,0.1478267383973292,0.27224500716870753,0.4874692874692875,3,0.14269838324944914,inner_OOF_outer_train_only,1.0000001084556738
0.1,n_OP,7,0.125,0.5572419634439403,0.614317211948791,0.6731863442389758,0.48459320662955974,0.5046607832322119,0.6842751842751844,3,0.5294551546423042,inner_OOF_outer_train_only,-0.44680976029185543
10.0,LiPHEX_prediction,8,1.0,0.43323355447752415,0.6310810810810811,0.6137268847795163,0.23516716891750122,0.23150739478180388,0.4371007371007371,3,-0.11313717015467332,inner_OOF_outer_train_only,0.8458863711444855
1.0,sasa002_frac_polar_hetero_only,9,0.25,0.35976541503935766,0.5401280227596017,0.5695590327169275,0.13367113788530566,0.32183062440317667,0.531941031941032,3,0.1883590068967117,inner_OOF_outer_train_only,0.3515484324711431
0.1,MolLogP,0,0.25,0.3536896697989601,0.5414943985062683,0.5285326086956522,0.1350499576030787,0.6250362775715843,0.70755765490414,4,0.06292823232400936,inner_OOF_outer_train_only,-0.6927632244097371
0.1,MolWt,1,0.125,0.35815373502690023,0.5258985729527874,0.5218224859962657,0.1480925014894362,0.3768741088213704,0.5253542650736316,4,0.0,inner_OOF_outer_train_only,0.7532403221281634
10.0,TPSA_SP,2,0.125,0.4123793739821698,0.6250416777807415,0.5930164710589491,0.20114767775160533,0.31685058031184604,0.48256460127813283,4,0.02067284555511291,inner_OOF_outer_train_only,0.6102451532531337
0.1,NumHDonors,3,0.25,0.32408007067794914,0.528257535342758,0.5411192984795946,0.07931720814999968,0.4935677764265225,0.7156154487357599,4,0.4089389984784348,inner_OOF_outer_train_only,0.9655096340016798
10.0,NumRotatableBonds,4,0.5,0.38140601896466964,0.5971592424646571,0.596334022405975,0.18236945954390127,0.4265610440937296,0.6510141706029452,4,0.22789076583109238,inner_OOF_outer_train_only,0.5218440532813403
0.1,NumAromaticRings,5,0.125,0.31365091777398063,0.5055098026140304,0.527273939717258,0.06564331972981373,0.4248353773083123,0.5837038066129481,4,0.0,inner_OOF_outer_train_only,-0.5821378692090055
100.0,nHalogen,6,0.25,0.3699940325994594,0.5690184049079755,0.5694518538276874,0.13061559464715972,0.35942390431209437,0.5473742706307307,4,0.06230148842075033,inner_OOF_outer_train_only,0.9970225587708832
0.1,n_OP,7,0.125,0.5686154997211387,0.6737296612429982,0.6837406641771139,0.5010182046881638,0.5316040827792864,0.652542372881356,4,0.47785524788666633,inner_OOF_outer_train_only,-0.4243375561237221
1.0,LiPHEX_prediction,8,1.0,0.3829552097362185,0.5844725260069352,0.5248899706588424,0.16120335546675946,0.30933028605508606,0.4829119199777716,4,0.0,inner_OOF_outer_train_only,1.0286676323264123
