REPLICATE,LEFT_MODEL,RIGHT_MODEL,MCC_DELTA
12,max_synergy_path_10q,quantum_iqp_zz_linear,-0.010376977515360597
12,stable_synergy_path_10q,quantum_iqp_zz_linear,0.010684898882986182
12,max_synergy_path_20q_duplicate,quantum_iqp_zz_linear,-0.08845775953909218
12,max_synergy_path_20q_complementary,quantum_iqp_zz_linear,0.021696944942200314
12,stable_synergy_path_20q_duplicate,quantum_iqp_zz_linear,-0.015011127485218212
12,stable_synergy_path_20q_complementary,quantum_iqp_zz_linear,0.007130384088557651
12,max_synergy_path_10q,rbf_matched,-0.0023704537115054602
12,stable_synergy_path_10q,rbf_matched,0.01869142268684132
12,max_synergy_path_20q_duplicate,rbf_matched,-0.08045123573523705
12,max_synergy_path_20q_complementary,rbf_matched,0.02970346874605545
12,stable_synergy_path_20q_duplicate,rbf_matched,-0.007004603681363075
12,stable_synergy_path_20q_complementary,rbf_matched,0.015136907892412788
12,max_synergy_path_10q,random_forest,-0.03712057617737752
12,stable_synergy_path_10q,random_forest,-0.01605869977903074
12,max_synergy_path_20q_duplicate,random_forest,-0.1152013582011091
12,max_synergy_path_20q_complementary,random_forest,-0.005046653719816607
12,stable_synergy_path_20q_duplicate,random_forest,-0.04175472614723513
12,stable_synergy_path_20q_complementary,random_forest,-0.01961321457345927
13,max_synergy_path_10q,current_order_10q,-0.011968873302457661
13,stable_synergy_path_10q,current_order_10q,0.012608177617690675
13,max_synergy_path_20q_duplicate,current_order_20q_duplicate,-0.08263378093656648
13,max_synergy_path_20q_complementary,current_order_20q_complementary,0.004008286418503482
13,stable_synergy_path_20q_duplicate,current_order_20q_duplicate,-0.017949152874872365
13,stable_synergy_path_20q_complementary,current_order_20q_complementary,-0.007785406195118083
13,max_synergy_path_10q,quantum_iqp_zz_linear,-0.011968873302457661
13,stable_synergy_path_10q,quantum_iqp_zz_linear,0.012608177617690675
13,max_synergy_path_20q_duplicate,quantum_iqp_zz_linear,-0.0690720899444533
13,max_synergy_path_20q_complementary,quantum_iqp_zz_linear,0.01680539081159127
13,stable_synergy_path_20q_duplicate,quantum_iqp_zz_linear,-0.0043874618827591805
13,stable_synergy_path_20q_complementary,quantum_iqp_zz_linear,0.005011698197969705
13,max_synergy_path_10q,rbf_matched,-0.013059498543629255
13,stable_synergy_path_10q,rbf_matched,0.01151755237651908
13,max_synergy_path_20q_duplicate,rbf_matched,-0.07016271518562489
13,max_synergy_path_20q_complementary,rbf_matched,0.015714765570419675
13,stable_synergy_path_20q_duplicate,rbf_matched,-0.005478087123930775
13,stable_synergy_path_20q_complementary,rbf_matched,0.003921072956798111
13,max_synergy_path_10q,random_forest,-0.06290264096956893
13,stable_synergy_path_10q,random_forest,-0.0383255900494206
