C,INNER_THRESHOLD_MCC,KERNEL_PARAMS,MODEL,ORDER_FEATURES,OUTER_FOLD,SELECTION_SOURCE,THRESHOLD
0.1,0.4615100550116057,"{""feature_scale"": 0.5}",current_order_10q,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",4,inner_OOF_outer_train_only,0.06535323416911915
0.1,0.45924424012213244,"{""feature_scale"": 0.5}",max_synergy_path_10q,"[""NumAromaticRings"", ""MolWt"", ""NumHDonors"", ""nHalogen"", ""n_OP"", ""TPSA_SP"", ""NumRotatableBonds"", ""MolLogP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",4,inner_OOF_outer_train_only,0.010776100903625348
0.1,0.478078566097431,"{""feature_scale"": 0.5}",stable_synergy_path_10q,"[""NumRotatableBonds"", ""NumAromaticRings"", ""NumHDonors"", ""MolLogP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only"", ""MolWt"", ""n_OP"", ""nHalogen"", ""TPSA_SP""]",4,inner_OOF_outer_train_only,0.022624130172189925
1.0,0.47944550184046675,"{""feature_scale"": 0.25}",current_order_20q_duplicate,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",4,inner_OOF_outer_train_only,0.6604132292522435
0.1,0.5050145780257503,"{""feature_scale"": 0.125}",current_order_20q_complementary,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",4,inner_OOF_outer_train_only,-0.042525596571552624
1.0,0.47944550184046675,"{""feature_scale"": 0.25}",max_synergy_path_20q_duplicate,"[""NumAromaticRings"", ""MolWt"", ""NumHDonors"", ""nHalogen"", ""n_OP"", ""TPSA_SP"", ""NumRotatableBonds"", ""MolLogP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",4,inner_OOF_outer_train_only,0.6356940650290037
0.1,0.5103098386963497,"{""feature_scale"": 0.125}",max_synergy_path_20q_complementary,"[""NumAromaticRings"", ""MolWt"", ""NumHDonors"", ""nHalogen"", ""n_OP"", ""TPSA_SP"", ""NumRotatableBonds"", ""MolLogP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",4,inner_OOF_outer_train_only,-0.0482099391089531
1.0,0.4864248414299833,"{""feature_scale"": 0.25}",stable_synergy_path_20q_duplicate,"[""NumRotatableBonds"", ""NumAromaticRings"", ""NumHDonors"", ""MolLogP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only"", ""MolWt"", ""n_OP"", ""nHalogen"", ""TPSA_SP""]",4,inner_OOF_outer_train_only,0.6475494275286016
0.1,0.5050145780257503,"{""feature_scale"": 0.125}",stable_synergy_path_20q_complementary,"[""NumRotatableBonds"", ""NumAromaticRings"", ""NumHDonors"", ""MolLogP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only"", ""MolWt"", ""n_OP"", ""nHalogen"", ""TPSA_SP""]",4,inner_OOF_outer_train_only,-0.04013916801593971
1.0,0.47830595973682105,"{""feature_scale"": 0.125}",current_order_10q,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",5,inner_OOF_outer_train_only,0.06879179332259161
1.0,0.48930621261190166,"{""feature_scale"": 0.125}",max_synergy_path_10q,"[""LiPHEX_prediction"", ""NumRotatableBonds"", ""TPSA_SP"", ""NumAromaticRings"", ""nHalogen"", ""MolLogP"", ""n_OP"", ""NumHDonors"", ""sasa002_frac_polar_hetero_only"", ""MolWt""]",5,inner_OOF_outer_train_only,0.07185690070124795
1.0,0.4888666351725969,"{""feature_scale"": 0.125}",stable_synergy_path_10q,"[""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only"", ""MolWt"", ""n_OP"", ""MolLogP"", ""NumHDonors"", ""NumRotatableBonds"", ""nHalogen"", ""NumAromaticRings"", ""TPSA_SP""]",5,inner_OOF_outer_train_only,0.07914300892053006
1.0,0.467417585248597,"{""feature_scale"": 0.125}",current_order_20q_duplicate,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",5,inner_OOF_outer_train_only,0.35285755194636653
1.0,0.4767764105470726,"{""feature_scale"": 0.125}",current_order_20q_complementary,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",5,inner_OOF_outer_train_only,0.3368541965407621
1.0,0.4675257686005932,"{""feature_scale"": 0.125}",max_synergy_path_20q_duplicate,"[""LiPHEX_prediction"", ""NumRotatableBonds"", ""TPSA_SP"", ""NumAromaticRings"", ""nHalogen"", ""MolLogP"", ""n_OP"", ""NumHDonors"", ""sasa002_frac_polar_hetero_only"", ""MolWt""]",5,inner_OOF_outer_train_only,-0.01435148204074288
1.0,0.4767764105470726,"{""feature_scale"": 0.125}",max_synergy_path_20q_complementary,"[""LiPHEX_prediction"", ""NumRotatableBonds"", ""TPSA_SP"", ""NumAromaticRings"", ""nHalogen"", ""MolLogP"", ""n_OP"", ""NumHDonors"", ""sasa002_frac_polar_hetero_only"", ""MolWt""]",5,inner_OOF_outer_train_only,0.34213880863585755
1.0,0.467417585248597,"{""feature_scale"": 0.125}",stable_synergy_path_20q_duplicate,"[""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only"", ""MolWt"", ""n_OP"", ""MolLogP"", ""NumHDonors"", ""NumRotatableBonds"", ""nHalogen"", ""NumAromaticRings"", ""TPSA_SP""]",5,inner_OOF_outer_train_only,0.3292424019540965
1.0,0.48103697390684214,"{""feature_scale"": 0.125}",stable_synergy_path_20q_complementary,"[""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only"", ""MolWt"", ""n_OP"", ""MolLogP"", ""NumHDonors"", ""NumRotatableBonds"", ""nHalogen"", ""NumAromaticRings"", ""TPSA_SP""]",5,inner_OOF_outer_train_only,0.2837710501877285
