DIAGONAL_ERROR,FOLD,MIN_EIGENVALUE,MODEL,N,PARAMS,PASS,PSD_VERIFICATION,STAGE,SYMMETRY_ERROR
0.0,1.2,,pair_iqp_zz__MolLogP__sasa002_frac_polar_hetero_only,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolLogP__sasa002_frac_polar_hetero_only,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolLogP__sasa002_frac_polar_hetero_only,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__MolWt__TPSA_SP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolWt__TPSA_SP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolWt__TPSA_SP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolWt__TPSA_SP,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_iqp_zz__MolWt__TPSA_SP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolWt__TPSA_SP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolWt__TPSA_SP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolWt__TPSA_SP,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__MolWt__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolWt__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolWt__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolWt__NumHDonors,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_iqp_zz__MolWt__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolWt__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolWt__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolWt__NumHDonors,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__MolWt__NumRotatableBonds,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolWt__NumRotatableBonds,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolWt__NumRotatableBonds,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolWt__NumRotatableBonds,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
